Year,School,School_Consistant,Type,LearningCommunity,lon,lat,AMINMale,AMINFemale,AMIN_Pop,AMIN_Prcnt,AMINPercent,AsianMale,AsianFemale,Asian_Pop,Asian_Prcnt,AsianPercent,HispanicMale,HispanicFemale,Hispanic_Pop,Hispanic_Prcnt,HispanicPercent,BlackMale,BlackFemale,Black_Pop,Black_Prcnt,BlackPercent,WhiteMale,WhiteFemale,White_Pop,White_Prcnt,WhitePercent,PacificIslandMale,PacificIslandFemale,Pacific_Pop,Pacific_Prcnt,PacificPercent,TwoorMoreMale,TwoorMoreFemale,Mixed_Pop,Mixed_Prcnt,TwoorMorePercent,Total,Diverse1,Diverse2,Diverse3
2008,ALBEMARLE ROAD ELEM,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,0,2,2,0.224,0.002,15,6,21,2.349,0.023,188,188,376,42.058,0.421,233,217,450,50.336,0.503,24,21,45,5.034,0.05,0,0,0,0,0,0,0,0,0,0,894,0,1,1
2009,ALBEMARLE ROAD ELEM,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,0,1,1,0.105,0.001,17,12,29,3.053,0.031,211,223,434,45.684,0.457,237,209,446,46.947,0.469,17,23,40,4.211,0.042,0,0,0,0,0,0,0,0,0,0,950,0,1,1
2010,ALBEMARLE ROAD ELEM,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,0,1,1,0.104,0.001,27,25,52,5.417,0.054,218,227,445,46.354,0.464,203,214,417,43.438,0.434,20,25,45,4.688,0.047,0,0,0,0,0,0,0,0,0,0,960,0,1,1
2011,ALBEMARLE ROAD ELEMENTARY,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,1,0,1,0.104,0.001,29,33,62,6.472,0.065,199,224,423,44.154,0.442,205,186,391,40.814,0.408,20,21,41,4.28,0.043,0,0,0,0,0,23,17,40,4.175,0.042,958,0,1,1
2012,ALBEMARLE ROAD ELEMENTARY,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,3,0,3,0.294,0.003,48,37,85,8.342,0.083,228,225,453,44.455,0.445,213,201,414,40.628,0.406,25,22,47,4.612,0.046,0,0,0,0,0,11,6,17,1.668,0.017,1019,0,1,1
2013,ALBEMARLE ROAD ELEMENTARY,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,2,4,6,0.558,0.006,41,50,91,8.457,0.085,270,253,523,48.606,0.486,202,200,402,37.361,0.374,20,18,38,3.532,0.035,0,0,0,0,0,12,4,16,1.487,0.015,1076,0,1,1
2014,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,2,1,3,0.248,0.002,42,57,99,8.175,0.082,354,309,663,54.748,0.547,196,183,379,31.296,0.313,26,26,52,4.294,0.043,0,1,1,0.083,0.001,11,3,14,1.156,0.012,1211,0,1,1
2015,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,3,5,8,0.6,0.006,60,58,118,8.852,0.089,384,332,716,53.713,0.537,217,209,426,31.958,0.32,26,21,47,3.526,0.035,0,1,1,0.075,0.001,12,5,17,1.275,0.013,1333,0,1,1
2016,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,3,7,10,0.884,0.009,64,39,103,9.107,0.091,335,281,616,54.465,0.545,180,165,345,30.504,0.305,23,19,42,3.714,0.037,2,5,7,0.619,0.006,4,4,8,0.707,0.007,1131,0,1,1
2017,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,3,2,5,0.428,0.004,76,51,127,10.864,0.109,330,298,628,53.721,0.537,180,174,354,30.282,0.303,27,15,42,3.593,0.036,2,3,5,0.428,0.004,5,3,8,0.684,0.007,1169,0,1,1
2018,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,2,1,3,0.277,0.003,87,66,153,14.114,0.141,318,256,574,52.952,0.53,157,151,308,28.413,0.284,22,16,38,3.506,0.035,3,1,4,0.369,0.004,3,1,4,0.369,0.004,1084,0,1,1
2019,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,0,1,1,0.113,0.001,59,47,106,11.977,0.12,258,195,453,51.186,0.512,146,140,286,32.316,0.323,17,14,31,3.503,0.035,3,2,5,0.565,0.006,1,2,3,0.339,0.003,885,0,1,1
2020,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,0,0,0,0,0,68,52,120,14.337,0.143,241,177,418,49.94,0.499,125,142,267,31.9,0.319,12,10,22,2.628,0.026,3,2,5,0.597,0.006,1,4,5,0.597,0.006,837,0,1,1
2008,ALBEMARLE ROAD MID,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,2,0,2,0.253,0.003,21,13,34,4.309,0.043,129,140,269,34.094,0.341,214,220,434,55.006,0.55,25,25,50,6.337,0.063,0,0,0,0,0,0,0,0,0,0,789,0,1,1
2009,ALBEMARLE ROAD MID,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,3,1,4,0.501,0.005,20,11,31,3.885,0.039,128,137,265,33.208,0.332,233,206,439,55.013,0.55,32,27,59,7.393,0.074,0,0,0,0,0,0,0,0,0,0,798,0,1,1
2010,ALBEMARLE ROAD MID,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,2,0,2,0.245,0.002,23,11,34,4.167,0.042,143,130,273,33.456,0.335,241,210,451,55.27,0.553,28,28,56,6.863,0.069,0,0,0,0,0,0,0,0,0,0,816,0,1,1
2011,ALBEMARLE ROAD MIDDLE,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,2,0,2,0.245,0.002,24,16,40,4.908,0.049,136,134,270,33.129,0.331,212,209,421,51.656,0.517,28,29,57,6.994,0.07,0,0,0,0,0,15,10,25,3.067,0.031,815,0,1,1
2012,ALBEMARLE ROAD MIDDLE,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,4,1,5,0.492,0.005,27,23,50,4.921,0.049,159,175,334,32.874,0.329,245,282,527,51.87,0.519,35,30,65,6.398,0.064,0,0,0,0,0,14,21,35,3.445,0.034,1016,0,1,1
2013,ALBEMARLE ROAD MIDDLE,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,4,1,5,0.449,0.004,39,20,59,5.296,0.053,176,216,392,35.189,0.352,269,288,557,50,0.5,37,33,70,6.284,0.063,0,0,0,0,0,14,17,31,2.783,0.028,1114,0,1,1
2014,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,4,5,9,0.777,0.008,39,28,67,5.786,0.058,210,248,458,39.551,0.396,284,241,525,45.337,0.453,34,36,70,6.045,0.06,0,1,1,0.086,0.001,12,16,28,2.418,0.024,1158,0,1,1
2015,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,2,2,4,0.334,0.003,51,33,84,7.012,0.07,242,268,510,42.571,0.426,285,220,505,42.154,0.422,32,40,72,6.01,0.06,0,0,0,0,0,14,9,23,1.92,0.019,1198,0,1,1
2016,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,0,3,3,0.27,0.003,44,40,84,7.554,0.076,241,241,482,43.345,0.433,249,200,449,40.378,0.404,36,35,71,6.385,0.064,0,0,0,0,0,13,10,23,2.068,0.021,1112,0,1,1
2017,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,1,4,5,0.432,0.004,44,44,88,7.599,0.076,266,258,524,45.25,0.453,234,228,462,39.896,0.399,34,30,64,5.527,0.055,0,0,0,0,0,8,7,15,1.295,0.013,1158,0,1,1
2018,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,0,1,1,0.091,0.001,45,36,81,7.37,0.074,282,250,532,48.408,0.484,195,209,404,36.761,0.368,42,26,68,6.187,0.062,1,1,2,0.182,0.002,5,6,11,1.001,0.01,1099,0,1,1
2019,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,2,0,2,0.173,0.002,56,40,96,8.319,0.083,277,282,559,48.44,0.484,221,202,423,36.655,0.367,37,17,54,4.679,0.047,3,2,5,0.433,0.004,5,10,15,1.3,0.013,1154,0,1,1
2020,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,1,0,1,0.091,0.001,48,34,82,7.428,0.074,271,264,535,48.46,0.485,211,189,400,36.232,0.362,37,28,65,5.888,0.059,2,0,2,0.181,0.002,7,12,19,1.721,0.017,1104,0,1,1
2008,ALEXANDER GRAHAM MID,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,1,3,4,0.377,0.004,7,5,12,1.131,0.011,30,32,62,5.844,0.058,175,142,317,29.877,0.299,349,317,666,62.771,0.628,0,0,0,0,0,0,0,0,0,0,1061,0,0,0
2009,ALEXANDER GRAHAM MID,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,1,4,5,0.443,0.004,9,8,17,1.506,0.015,31,28,59,5.226,0.052,190,173,363,32.152,0.322,362,323,685,60.673,0.607,0,0,0,0,0,0,0,0,0,0,1129,0,0,0
2010,ALEXANDER GRAHAM MID,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,3,3,6,0.522,0.005,9,15,24,2.087,0.021,36,23,59,5.13,0.051,186,154,340,29.565,0.296,373,348,721,62.696,0.627,0,0,0,0,0,0,0,0,0,0,1150,0,0,0
2011,ALEXANDER GRAHAM MIDDLE,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,0,3,3,0.243,0.002,14,15,29,2.348,0.023,49,33,82,6.64,0.066,172,148,320,25.911,0.259,402,356,758,61.377,0.614,0,0,0,0,0,20,23,43,3.482,0.035,1235,0,0,0
2012,ALEXANDER GRAHAM MIDDLE,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,1,0,1,0.074,0.001,13,11,24,1.765,0.018,63,50,113,8.309,0.083,220,173,393,28.897,0.289,399,388,787,57.868,0.579,0,0,0,0,0,20,22,42,3.088,0.031,1360,0,0,0
2013,ALEXANDER GRAHAM MIDDLE,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,3,0,3,0.208,0.002,16,17,33,2.288,0.023,73,72,145,10.055,0.101,231,188,419,29.057,0.291,414,388,802,55.617,0.556,0,0,0,0,0,21,19,40,2.774,0.028,1442,0,0,0
2014,Alexander Graham Middle,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,4,1,5,0.345,0.003,17,20,37,2.555,0.026,65,68,133,9.185,0.092,209,192,401,27.693,0.277,432,411,843,58.218,0.582,0,0,0,0,0,18,11,29,2.003,0.02,1448,0,0,0
2015,Alexander Graham Middle,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,3,4,7,0.483,0.005,16,24,40,2.761,0.028,57,62,119,8.213,0.082,223,200,423,29.193,0.292,426,398,824,56.867,0.569,0,1,1,0.069,0.001,20,15,35,2.415,0.024,1449,0,0,0
2016,Alexander Graham Middle,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,2,2,4,0.28,0.003,16,24,40,2.803,0.028,57,50,107,7.498,0.075,228,171,399,27.961,0.28,443,408,851,59.636,0.596,0,0,0,0,0,16,10,26,1.822,0.018,1427,0,0,0
2017,Alexander Graham Middle,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,5,2,7,0.492,0.005,21,28,49,3.446,0.034,50,62,112,7.876,0.079,201,161,362,25.457,0.255,437,422,859,60.408,0.604,0,1,1,0.07,0.001,12,20,32,2.25,0.023,1422,0,0,0
2018,Alexander Graham Middle,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,3,1,4,0.273,0.003,21,23,44,3.003,0.03,56,60,116,7.918,0.079,192,177,369,25.188,0.252,469,436,905,61.775,0.618,0,1,1,0.068,0.001,8,18,26,1.775,0.018,1465,0,0,0
2019,Alexander Graham Middle,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,5,2,7,0.493,0.005,16,17,33,2.324,0.023,61,75,136,9.577,0.096,182,159,341,24.014,0.24,443,432,875,61.62,0.616,1,1,2,0.141,0.001,11,15,26,1.831,0.018,1420,0,0,0
2020,Alexander Graham Middle,ALEXANDER GRAHAM MIDDLE,Middle,Center City 2,-80.832934,35.166832,1,1,2,0.147,0.001,16,15,31,2.283,0.023,113,104,217,15.979,0.16,150,147,297,21.87,0.219,407,379,786,57.879,0.579,1,0,1,0.074,0.001,11,13,24,1.767,0.018,1358,0,0,0
2008,ALLENBROOK ELEM,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,2,5,7,1.535,0.015,25,20,45,9.868,0.099,30,31,61,13.377,0.134,149,170,319,69.956,0.7,13,11,24,5.263,0.053,0,0,0,0,0,0,0,0,0,0,456,0,1,1
2009,ALLENBROOK ELEM,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,3,5,8,1.806,0.018,27,17,44,9.932,0.099,34,34,68,15.35,0.153,148,158,306,69.074,0.691,10,7,17,3.837,0.038,0,0,0,0,0,0,0,0,0,0,443,0,1,1
2010,ALLENBROOK ELEM,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,2,3,5,1.188,0.012,30,23,53,12.589,0.126,34,35,69,16.39,0.164,137,144,281,66.746,0.667,4,9,13,3.088,0.031,0,0,0,0,0,0,0,0,0,0,421,0,1,1
2011,ALLENBROOK ELEMENTARY,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,1,4,5,1.305,0.013,21,14,35,9.138,0.091,27,24,51,13.316,0.133,129,132,261,68.146,0.681,6,9,15,3.916,0.039,0,0,0,0,0,8,8,16,4.178,0.042,383,0,1,1
2012,ALLENBROOK ELEMENTARY,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,0,3,3,0.686,0.007,27,18,45,10.297,0.103,31,18,49,11.213,0.112,167,147,314,71.854,0.719,11,6,17,3.89,0.039,0,0,0,0,0,6,3,9,2.059,0.021,437,0,1,1
2013,ALLENBROOK ELEMENTARY,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,3,3,6,1.237,0.012,32,23,55,11.34,0.113,29,20,49,10.103,0.101,168,180,348,71.753,0.718,11,5,16,3.299,0.033,0,0,0,0,0,6,5,11,2.268,0.023,485,0,1,1
2014,Allenbrook Elementary,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,5,4,9,1.867,0.019,37,24,61,12.656,0.127,28,17,45,9.336,0.093,172,180,352,73.029,0.73,8,2,10,2.075,0.021,1,0,1,0.207,0.002,2,2,4,0.83,0.008,482,0,1,1
2015,Allenbrook Elementary,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,4,2,6,1.101,0.011,32,18,50,9.174,0.092,32,21,53,9.725,0.097,203,216,419,76.881,0.769,8,4,12,2.202,0.022,0,0,0,0,0,4,1,5,0.917,0.009,545,1,1,1
2016,Allenbrook Elementary,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,3,2,5,0.936,0.009,37,20,57,10.674,0.107,32,32,64,11.985,0.12,192,189,381,71.348,0.713,8,11,19,3.558,0.036,0,0,0,0,0,6,2,8,1.498,0.015,534,0,1,1
2017,Allenbrook Elementary,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,3,2,5,0.906,0.009,41,20,61,11.051,0.111,32,42,74,13.406,0.134,213,175,388,70.29,0.703,6,9,15,2.717,0.027,0,0,0,0,0,5,4,9,1.63,0.016,552,0,1,1
2018,Allenbrook Elementary,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,2,3,5,0.973,0.01,32,15,47,9.144,0.091,33,36,69,13.424,0.134,194,183,377,73.346,0.733,2,7,9,1.751,0.018,0,0,0,0,0,4,3,7,1.362,0.014,514,0,1,1
2019,Allenbrook Elementary,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,2,1,3,1.064,0.011,22,8,30,10.638,0.106,20,23,43,15.248,0.152,107,89,196,69.504,0.695,3,2,5,1.773,0.018,1,0,1,0.355,0.004,3,1,4,1.418,0.014,282,0,1,1
2020,Allenbrook Elementary,ALLENBROOK ELEMENTARY,Elementary,Center City 1,-80.914864,35.262301,0,0,0,0,0,22,8,30,10.714,0.107,32,18,50,17.857,0.179,89,94,183,65.357,0.654,4,1,5,1.786,0.018,0,0,0,0,0,9,3,12,4.286,0.043,280,0,1,1
2008,ARDREY KELL HIGH,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,5,5,10,0.616,0.006,79,64,143,8.805,0.088,60,63,123,7.574,0.076,122,110,232,14.286,0.143,546,570,1116,68.719,0.687,0,0,0,0,0,0,0,0,0,0,1624,0,0,0
2009,ARDREY KELL HIGH,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,8,9,17,0.9,0.009,105,90,195,10.323,0.103,57,71,128,6.776,0.068,146,145,291,15.405,0.154,622,636,1258,66.596,0.666,0,0,0,0,0,0,0,0,0,0,1889,0,0,0
2010,ARDREY KELL HIGH,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,4,7,11,0.544,0.005,105,102,207,10.242,0.102,62,70,132,6.531,0.065,164,186,350,17.318,0.173,681,640,1321,65.364,0.654,0,0,0,0,0,0,0,0,0,0,2021,0,0,0
2011,ARDREY KELL HIGH,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,4,3,7,0.315,0.003,127,115,242,10.876,0.109,79,79,158,7.101,0.071,132,152,284,12.764,0.128,776,685,1461,65.663,0.657,0,0,0,0,0,31,42,73,3.281,0.033,2225,0,0,0
2012,ARDREY KELL HIGH,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,5,3,8,0.334,0.003,144,139,283,11.831,0.118,81,80,161,6.731,0.067,157,175,332,13.88,0.139,800,768,1568,65.552,0.656,0,0,0,0,0,19,21,40,1.672,0.017,2392,0,0,0
2013,ARDREY KELL HIGH,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,4,3,7,0.285,0.003,159,152,311,12.663,0.127,78,84,162,6.596,0.066,160,179,339,13.803,0.138,806,774,1580,64.332,0.643,0,0,0,0,0,31,26,57,2.321,0.023,2456,0,0,0
2014,Ardrey Kell High,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,4,3,7,0.279,0.003,170,164,334,13.296,0.133,92,86,178,7.086,0.071,160,165,325,12.938,0.129,810,795,1605,63.893,0.639,0,0,0,0,0,31,32,63,2.508,0.025,2512,0,0,0
2015,Ardrey Kell High,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,4,4,8,0.296,0.003,185,207,392,14.513,0.145,95,99,194,7.183,0.072,185,184,369,13.662,0.137,820,854,1674,61.977,0.62,0,1,1,0.037,0,30,33,63,2.332,0.023,2701,0,0,0
2016,Ardrey Kell High,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,2,2,4,0.139,0.001,217,229,446,15.508,0.155,126,111,237,8.241,0.082,193,166,359,12.483,0.125,889,871,1760,61.196,0.612,1,2,3,0.104,0.001,37,30,67,2.33,0.023,2876,0,0,0
2017,Ardrey Kell High,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,1,2,3,0.1,0.001,263,269,532,17.787,0.178,143,104,247,8.258,0.083,189,185,374,12.504,0.125,880,878,1758,58.776,0.588,1,2,3,0.1,0.001,43,31,74,2.474,0.025,2991,0,0,0
2018,Ardrey Kell High,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,2,2,4,0.126,0.001,308,300,608,19.132,0.191,163,130,293,9.22,0.092,197,178,375,11.8,0.118,904,912,1816,57.143,0.571,2,3,5,0.157,0.002,45,32,77,2.423,0.024,3178,0,0,0
2019,Ardrey Kell High,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,1,1,2,0.06,0.001,338,342,680,20.513,0.205,183,133,316,9.532,0.095,198,176,374,11.282,0.113,944,900,1844,55.626,0.556,2,3,5,0.151,0.002,50,44,94,2.836,0.028,3315,0,0,0
2020,Ardrey Kell High,ARDREY KELL HIGH,High,Southwest,-80.826728,35.030091,1,3,4,0.119,0.001,373,362,735,21.927,0.219,192,151,343,10.233,0.102,195,197,392,11.695,0.117,897,893,1790,53.401,0.534,2,1,3,0.089,0.001,44,41,85,2.536,0.025,3352,0,0,0
2008,ASHLEY PARK ELEM,ASHLEY PARK PREK-8 SCHOOL,Elementary,Center City 1,-80.890644,35.232592,1,2,3,1.087,0.011,0,0,0,0,0,3,1,4,1.449,0.014,118,138,256,92.754,0.928,7,6,13,4.71,0.047,0,0,0,0,0,0,0,0,0,0,276,1,1,1
2009,ASHLEY PARK ELEM,ASHLEY PARK PREK-8 SCHOOL,Elementary,Center City 1,-80.890644,35.232592,0,1,1,0.364,0.004,3,1,4,1.455,0.015,1,3,4,1.455,0.015,132,129,261,94.909,0.949,2,3,5,1.818,0.018,0,0,0,0,0,0,0,0,0,0,275,1,1,1
2010,ASHLEY PARK ELEM,ASHLEY PARK PREK-8 SCHOOL,Elementary,Center City 1,-80.890644,35.232592,0,1,1,0.408,0.004,3,2,5,2.041,0.02,3,6,9,3.673,0.037,104,122,226,92.245,0.922,1,3,4,1.633,0.016,0,0,0,0,0,0,0,0,0,0,245,1,1,1
2011,ASHLEY PARK ELEMENTARY,ASHLEY PARK PREK-8 SCHOOL,Elementary,Center City 1,-80.890644,35.232592,0,0,0,0,0,2,4,6,2.273,0.023,5,7,12,4.545,0.045,113,120,233,88.258,0.883,3,1,4,1.515,0.015,0,0,0,0,0,3,6,9,3.409,0.034,264,1,1,1
2012,ASHLEY PARK PREK-8 SCHOOL,ASHLEY PARK PREK-8 SCHOOL,k-8,Center City 1,-80.890644,35.232592,0,2,2,0.358,0.004,9,7,16,2.867,0.029,11,12,23,4.122,0.041,245,249,494,88.53,0.885,9,7,16,2.867,0.029,0,0,0,0,0,5,2,7,1.254,0.013,558,1,1,1
2013,ASHLEY PARK PREK-8 SCHOOL,ASHLEY PARK PREK-8 SCHOOL,k-8,Center City 1,-80.890644,35.232592,0,3,3,0.539,0.005,7,6,13,2.334,0.023,15,17,32,5.745,0.057,247,247,494,88.689,0.887,4,4,8,1.436,0.014,0,0,0,0,0,5,2,7,1.257,0.013,557,1,1,1
2014,Ashley Park PreK-8 School,ASHLEY PARK PREK-8 SCHOOL,k-8,Center City 1,-80.890644,35.232592,0,3,3,0.521,0.005,9,5,14,2.431,0.024,17,15,32,5.556,0.056,276,235,511,88.715,0.887,7,3,10,1.736,0.017,0,0,0,0,0,3,3,6,1.042,0.01,576,1,1,1
2015,Ashley Park PreK-8 School,ASHLEY PARK PREK-8 SCHOOL,k-8,Center City 1,-80.890644,35.232592,1,1,2,0.34,0.003,3,3,6,1.019,0.01,18,23,41,6.961,0.07,289,233,522,88.625,0.886,11,2,13,2.207,0.022,0,0,0,0,0,3,2,5,0.849,0.008,589,1,1,1
2016,Ashley Park PreK-8 School,ASHLEY PARK PREK-8 SCHOOL,k-8,Center City 1,-80.890644,35.232592,1,1,2,0.334,0.003,4,6,10,1.669,0.017,21,18,39,6.511,0.065,251,274,525,87.646,0.876,10,3,13,2.17,0.022,0,0,0,0,0,6,4,10,1.669,0.017,599,1,1,1
2017,Ashley Park PreK-8 School,ASHLEY PARK PREK-8 SCHOOL,k-8,Center City 1,-80.890644,35.232592,1,2,3,0.541,0.005,5,3,8,1.441,0.014,24,17,41,7.387,0.074,223,258,481,86.667,0.867,5,5,10,1.802,0.018,0,0,0,0,0,7,5,12,2.162,0.022,555,1,1,1
2018,Ashley Park PreK-8 School,ASHLEY PARK PREK-8 SCHOOL,k-8,Center City 1,-80.890644,35.232592,1,1,2,0.375,0.004,4,2,6,1.126,0.011,22,22,44,8.255,0.083,217,245,462,86.679,0.867,3,5,8,1.501,0.015,0,0,0,0,0,6,5,11,2.064,0.021,533,1,1,1
2019,Ashley Park PreK-8 School,ASHLEY PARK PREK-8 SCHOOL,k-8,Center City 1,-80.890644,35.232592,1,1,2,0.379,0.004,4,2,6,1.136,0.011,26,22,48,9.091,0.091,216,235,451,85.417,0.854,3,8,11,2.083,0.021,0,0,0,0,0,6,4,10,1.894,0.019,528,1,1,1
2020,Ashley Park PreK-8 School,ASHLEY PARK PREK-8 SCHOOL,k-8,Center City 1,-80.890644,35.232592,2,2,4,0.903,0.009,6,1,7,1.58,0.016,26,18,44,9.932,0.099,170,187,357,80.587,0.806,4,5,9,2.032,0.02,0,0,0,0,0,12,10,22,4.966,0.05,443,1,1,1
2008,BAILEY MIDDLE,BAILEY MIDDLE,Middle,Northwest,-80.837493,35.467838,5,3,8,0.666,0.007,9,14,23,1.913,0.019,39,46,85,7.072,0.071,89,64,153,12.729,0.127,497,436,933,77.621,0.776,0,0,0,0,0,0,0,0,0,0,1202,1,0,1
2009,BAILEY MIDDLE,BAILEY MIDDLE,Middle,Northwest,-80.837493,35.467838,6,2,8,0.65,0.007,14,13,27,2.195,0.022,52,54,106,8.618,0.086,96,76,172,13.984,0.14,453,464,917,74.553,0.746,0,0,0,0,0,0,0,0,0,0,1230,0,0,0
2010,BAILEY MIDDLE,BAILEY MIDDLE,Middle,Northwest,-80.837493,35.467838,3,2,5,0.418,0.004,9,9,18,1.506,0.015,54,37,91,7.615,0.076,84,81,165,13.808,0.138,449,467,916,76.653,0.767,0,0,0,0,0,0,0,0,0,0,1195,1,0,1
2011,BAILEY MIDDLE,BAILEY MIDDLE,Middle,Northwest,-80.837493,35.467838,2,0,2,0.151,0.002,13,14,27,2.036,0.02,56,38,94,7.089,0.071,75,79,154,11.614,0.116,495,508,1003,75.641,0.756,0,0,0,0,0,30,16,46,3.469,0.035,1326,1,0,1
2012,BAILEY MIDDLE,BAILEY MIDDLE,Middle,Northwest,-80.837493,35.467838,5,2,7,0.52,0.005,13,13,26,1.933,0.019,56,40,96,7.138,0.071,76,72,148,11.004,0.11,513,527,1040,77.323,0.773,0,0,0,0,0,17,11,28,2.082,0.021,1345,1,0,1
2013,BAILEY MIDDLE,BAILEY MIDDLE,Middle,Northwest,-80.837493,35.467838,2,1,3,0.2,0.002,13,13,26,1.73,0.017,53,58,111,7.385,0.074,72,78,150,9.98,0.1,595,582,1177,78.31,0.783,0,0,0,0,0,17,19,36,2.395,0.024,1503,1,1,1
2014,Bailey Middle,BAILEY MIDDLE,Middle,Northwest,-80.837493,35.467838,2,3,5,0.318,0.003,15,17,32,2.036,0.02,55,73,128,8.142,0.081,66,86,152,9.669,0.097,595,614,1209,76.908,0.769,0,1,1,0.064,0.001,16,29,45,2.863,0.029,1572,1,1,1
2015,Bailey Middle,BAILEY MIDDLE,Middle,Northwest,-80.837493,35.467838,1,2,3,0.186,0.002,15,22,37,2.29,0.023,68,87,155,9.592,0.096,64,74,138,8.54,0.085,632,605,1237,76.547,0.765,0,0,0,0,0,19,27,46,2.847,0.028,1616,1,1,1
